date,open,high,low,close,volume,date_ordinal,processed_log_return,outliers_processed_log_return,normalized_outliers_processed_log_return,srl_input
2022-04-02 01:00:00,3520.83,3520.83,3481.37,3485.3,25030100000000.0,1648861200.0,-0.0053738801424355175,-0.0053738801424355175,-0.3097056786810708,-0.3097056786810708
2022-04-02 02:00:00,3471.86,3471.86,3471.86,3471.86,6637290000000.0,1648864800.0,-0.0038636503168318756,-0.0038636503168318756,-0.21881101416856805,-0.21881101416856805
2022-04-02 03:00:00,3456.26,3456.26,3456.26,3456.26,9347600000000.0,1648868400.0,-0.004503393810936703,-0.004503393810936703,-0.25731460434066133,-0.25731460434066133
2022-04-02 04:00:00,3474.79,3476.57,3474.79,3476.57,45086900000000.0,1648872000.0,0.005859095954122205,0.005859095954122205,0.3663620141056702,0.3663620141056702
2022-04-02 05:00:00,3476.57,3476.57,3476.57,3476.57,0.0,1648875600.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-02 06:00:00,3478.89,3478.89,3478.89,3478.89,1.46156e+16,1648879200.0,0.0006671018411542911,0.0006671018411542911,0.053876751897000474,0.053876751897000474
2022-04-02 07:00:00,3475.0,3477.0,3475.0,3477.0,174914000000.0,1648882800.0,-0.0005434243630969667,-0.0005434243630969667,-0.01897995597197042,-0.01897995597197042
2022-04-02 08:00:00,3477.0,3477.0,3477.0,3477.0,0.0,1648886400.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-02 09:00:00,3473.75,3473.75,3472.18,3472.18,24396800000000.0,1648890000.0,-0.0013872142534667258,-0.0013872142534667258,-0.0697642787975014,-0.0697642787975014
2022-04-02 10:00:00,3481.35,3481.35,3480.33,3480.33,2738110000000.0,1648893600.0,0.0023444781044809184,0.0023444781044809184,0.15483128883668035,0.15483128883668035
2022-04-02 11:00:00,3480.33,3480.33,3480.33,3480.33,0.0,1648897200.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-02 12:00:00,3490.19,3515.38,3476.74,3515.38,4.00038e+16,1648900800.0,0.01002051065073738,0.01002051065073738,0.6168208425128281,0.6168208425128281
2022-04-02 13:00:00,3524.81,3524.81,3515.87,3515.87,5.23159e+16,1648904400.0,0.00013937777800341174,0.00013937777800341174,0.022115161136401273,0.022115161136401273
2022-04-02 14:00:00,3498.83,3498.83,3498.83,3498.83,2707390000000.0,1648908000.0,-0.004858378410321417,-0.004858378410321417,-0.2786797009114974,-0.2786797009114974
2022-04-02 15:00:00,3460.01,3460.01,3460.01,3460.01,62099000000000.0,1648911600.0,-0.01115714765629109,-0.01115714765629109,-0.6577773109227709,-0.6577773109227709
2022-04-02 16:00:00,3460.01,3460.01,3460.01,3460.01,0.0,1648915200.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-02 17:00:00,3486.63,3486.63,3486.63,3486.63,1.9402e+16,1648918800.0,0.0076641744221141676,0.0076641744221141676,0.4750024335870507,0.4750024335870507
2022-04-02 18:00:00,3474.76,3474.76,3474.76,3474.76,9746960000000.0,1648922400.0,-0.0034102417775064234,-0.0034102417775064234,-0.1915221761583545,-0.1915221761583545
2022-04-02 19:00:00,3479.5,3479.5,3479.5,3479.5,151882000000.0,1648926000.0,0.0013631934192931544,0.0013631934192931544,0.09577170681859394,0.09577170681859394
2022-04-02 20:00:00,3473.58,3473.58,3473.58,3473.58,101736000000.0,1648929600.0,-0.0017028428927916206,-0.0017028428927916206,-0.08876069827988514,-0.08876069827988514
2022-04-02 21:00:00,3473.58,3473.58,3473.58,3473.58,0.0,1648933200.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-02 22:00:00,3479.46,3479.46,3459.95,3459.95,96316500000000.0,1648936800.0,-0.003931624311810038,-0.003931624311810038,-0.22290209578036516,-0.22290209578036516
2022-04-02 23:00:00,3453.83,3453.83,3453.83,3453.83,1.20482e+16,1648940400.0,-0.001770377882565257,-0.001770377882565257,-0.09282535793251542,-0.09282535793251542
2022-04-03 00:00:00,3455.06,3461.64,3455.06,3461.64,30257800000000.0,1648944000.0,0.0022587049963016773,0.0022587049963016773,0.14966895012506704,0.14966895012506704
2022-04-03 01:00:00,3461.64,3461.64,3461.64,3461.64,0.0,1648947600.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-03 02:00:00,3444.08,3445.46,3444.08,3445.46,125853000000000.0,1648951200.0,-0.004685042809689013,-0.004685042809689013,-0.2682473276392651,-0.2682473276392651
2022-04-03 03:00:00,3445.46,3445.46,3445.46,3445.46,0.0,1648954800.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-03 04:00:00,3445.46,3445.46,3445.46,3445.46,0.0,1648958400.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-03 05:00:00,3445.46,3445.46,3445.46,3445.46,0.0,1648962000.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-03 06:00:00,3509.01,3509.01,3509.01,3509.01,3.41099e+16,1648965600.0,0.018276524009565955,0.016387095480446524,0.9999999999999998,0.9999999999999998
2022-04-03 07:00:00,3491.8,3491.8,3485.33,3485.33,35125000000000.0,1648969200.0,-0.006771215147102008,-0.006771215147102008,-0.39380565757664765,-0.39380565757664765
2022-04-03 08:00:00,3497.56,3497.56,3497.56,3497.56,2.01464e+16,1648972800.0,0.003502851256467998,0.003502851256467998,0.22454911406111022,0.22454911406111022
2022-04-03 09:00:00,3483.28,3483.28,3483.28,3483.28,5.5417e+16,1648976400.0,-0.004091203900434316,-0.004091203900434316,-0.23250654996683268,-0.23250654996683268
2022-04-03 10:00:00,3481.35,3481.35,3481.35,3481.35,175344000000.0,1648980000.0,-0.0005542290256347577,-0.0005542290256347577,-0.019630245192785396,-0.019630245192785396
2022-04-03 11:00:00,3481.35,3481.35,3481.35,3481.35,0.0,1648983600.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-03 12:00:00,3481.35,3481.35,3481.35,3481.35,0.0,1648987200.0,0.0,0.0,0.013726572752474686,0.013726572752474686
2022-04-03 13:00:00,3497.7,3497.7,3497.7,3497.7,1507690000000.0,1648990800.0,0.00468546003014195,0.00468546003014195,0.29572558396672277,0.29572558396672277
2022-04-03 14:00:00,3489.79,3489.79,3489.79,3489.79,3.52224e+16,1648994400.0,-0.002264047141055854,-0.002264047141055854,-0.12253732684605703,-0.12253732684605703
2022-04-03 15:00:00,3514.85,3515.95,3501.13,3501.13,128438000000000.0,1648998000.0,0.0032442110469105795,0.0032442110469105795,0.20898259916476433,0.20898259916476433
2022-04-03 16:00:00,3490.82,3490.82,3490.82,3490.82,3557310000000.0,1649001600.0,-0.00294910789475763,-0.00294910789475763,-0.16376838077092332,-0.16376838077092332
