date,ae_embedding_0,ae_embedding_1,ae_embedding_2,ae_embedding_3,ae_embedding_4,ae_embedding_5,ae_embedding_6,ae_embedding_7,ae_embedding_8,ae_embedding_9,ae_embedding_10,ae_embedding_11,ae_embedding_12,ae_embedding_13,ae_embedding_14,ae_embedding_15,ae_embedding_16,ae_embedding_17,ae_embedding_18,ae_embedding_19,ae_embedding_20,ae_embedding_21,ae_embedding_22,ae_embedding_23,ae_embedding_24,ae_embedding_25,ae_embedding_26,ae_embedding_27,ae_embedding_28,ae_embedding_29,ae_embedding_30,ae_embedding_31
2022-04-09 01:00:00,-0.04206853,-0.09094352,-0.040126495,0.084080145,-0.03607501,-0.06703641,0.003926061,0.001472488,-0.048379026,-0.14214635,0.029903904,0.100245595,-0.0012222156,0.037232384,-0.14326157,-0.48112416,0.03719651,-0.08616275,0.22624063,-0.10881679,-0.5139878,0.10386368,-0.01971088,0.35491097,-0.15359122,0.05133252,-0.18688616,-0.016958743,-0.73118305,-0.012505957,-0.0012817048,0.06830538
2022-04-09 02:00:00,-0.051500056,-0.075618155,-0.054648183,0.080197155,-0.032436326,-0.092119426,0.0061537363,-0.023930505,-0.03699062,-0.14046055,0.009909473,0.08637668,0.008018568,0.045051172,-0.10893312,-0.4878964,0.047759987,-0.0847527,0.2261523,-0.13122505,-0.49568647,0.09894517,-0.031200808,0.32868168,-0.14764744,0.06579039,-0.20106228,-0.017950222,-0.75208366,-0.015069504,-0.013975143,0.07708664
2022-04-09 03:00:00,-0.07003002,-0.07354949,-0.07311862,0.0789044,-0.025408268,-0.09792284,0.010293707,-0.026544258,-0.02420403,-0.14758939,0.014390044,0.06815912,0.00755094,0.03301575,-0.08896043,-0.4853402,0.046600886,-0.059831567,0.2262255,-0.1125294,-0.4872948,0.10024431,-0.030275755,0.3166068,-0.13152516,0.08103015,-0.20988767,-0.0028258488,-0.766088,-0.00491793,0.0058014505,0.062795244
2022-04-09 04:00:00,-0.084086,-0.070189886,-0.0972868,0.08536498,-0.029843539,-0.11005192,0.0053238384,-0.027598433,-0.008074336,-0.16357976,0.01665283,0.051552754,-0.01089678,0.024525937,-0.08290112,-0.48668793,0.043711014,-0.0324653,0.21904993,-0.09925744,-0.48671466,0.111537114,-0.031640198,0.2946207,-0.121217825,0.101114996,-0.22109076,0.0025919825,-0.78366446,-0.021405362,0.018927742,0.036591046
2022-04-09 05:00:00,-0.103382856,-0.06440241,-0.12114232,0.089966916,-0.026324421,-0.124802984,-0.0008185357,-0.027270347,-0.0004907027,-0.18392792,0.016229846,0.022276986,-0.022193179,0.0056900345,-0.07315594,-0.4902749,0.03812229,0.00019426644,0.2092945,-0.08077392,-0.49173322,0.12580556,-0.033469796,0.26722217,-0.11307413,0.12283545,-0.22531083,0.005232297,-0.8006681,-0.029212274,0.033357915,0.00865069
2022-04-09 06:00:00,-0.09766677,-0.08224235,-0.12430134,0.09088486,-0.035262495,-0.09298876,0.0015411302,-0.011585042,0.013322197,-0.16584283,0.05781258,0.02237675,-0.05931001,0.015819974,-0.13107002,-0.4635573,0.011600442,0.04952164,0.19113062,-0.050055973,-0.5025202,0.16289552,-0.040516455,0.2998599,-0.09404538,0.12015479,-0.2366404,0.012505285,-0.8083719,-0.04438258,0.052515376,-0.020731255
2022-04-09 07:00:00,-0.09605586,-0.07936663,-0.13717398,0.089368336,-0.03023149,-0.10891003,0.00019688159,-0.022799179,0.012847871,-0.18478993,0.038598053,0.0055156685,-0.05104371,0.012210527,-0.11926018,-0.47489187,0.015470661,0.046043634,0.19338496,-0.06843246,-0.48756617,0.16189489,-0.045608357,0.27564394,-0.08123062,0.12299524,-0.23753196,0.0033190474,-0.8075105,-0.033339188,0.035739128,-0.008651197
2022-04-09 08:00:00,-0.09740187,-0.0794766,-0.15380475,0.09189562,-0.03364159,-0.11070037,-0.00093018264,-0.004286349,0.011014484,-0.19315505,0.05665859,-0.008475233,-0.06403327,0.0011793673,-0.13697158,-0.46579486,0.00033874065,0.077179156,0.18354017,-0.04058086,-0.49584293,0.18158765,-0.049015224,0.27875566,-0.06805504,0.12696785,-0.24337089,0.012063369,-0.82428885,-0.04426647,0.05120519,-0.029009178
2022-04-09 09:00:00,-0.09080967,-0.09899143,-0.15607998,0.09005133,-0.0416328,-0.07026585,0.0021724328,0.014904305,0.021413356,-0.17243215,0.103784405,0.00039134547,-0.097188756,0.013234619,-0.20418759,-0.43609473,-0.029015593,0.122849196,0.1648112,-0.007802762,-0.5080036,0.21572602,-0.054423276,0.32554203,-0.048562057,0.11989533,-0.25623024,0.01900737,-0.8331841,-0.05791761,0.07007943,-0.054089926
2022-04-09 10:00:00,-0.08438003,-0.10458485,-0.16528073,0.0897708,-0.039551765,-0.07298652,0.0029985607,0.008341186,0.02405838,-0.18710181,0.09435383,-0.00995649,-0.095372126,0.014931947,-0.20475486,-0.44223884,-0.029030211,0.12129704,0.16997668,-0.021191142,-0.49205065,0.21600638,-0.057867598,0.31395996,-0.029794224,0.117545046,-0.257182,0.012289003,-0.82335925,-0.042393237,0.059088256,-0.04391151
2022-04-09 11:00:00,-0.08870627,-0.09632731,-0.18809578,0.09239221,-0.039188728,-0.086870216,-0.003176745,0.030323036,0.016741186,-0.206108,0.099975236,-0.024412047,-0.10161385,-0.005434828,-0.20016626,-0.44252092,-0.040285744,0.13831747,0.1643001,0.000385575,-0.4951627,0.22846554,-0.05380552,0.29766488,-0.017693408,0.12368033,-0.25656337,0.01389391,-0.8445182,-0.05750075,0.06706317,-0.062642865
2022-04-09 12:00:00,-0.074749485,-0.11570013,-0.18952972,0.0941646,-0.039830953,-0.056614038,-0.0032445341,0.047339804,0.018058047,-0.20719525,0.12102441,-0.011263218,-0.11110897,0.00413155,-0.24019569,-0.43163934,-0.055794798,0.13809353,0.16974127,0.008462645,-0.48537612,0.23160172,-0.0443839,0.3243169,0.007822864,0.107497096,-0.25734138,0.0070481747,-0.82219875,-0.041924268,0.06891619,-0.0626677
2022-04-09 13:00:00,-0.08021764,-0.102586396,-0.20872319,0.086574875,-0.03600192,-0.087867856,-0.0017342344,0.01917693,0.029724509,-0.22095576,0.090926714,-0.03050024,-0.104516685,0.0054946337,-0.20781855,-0.4463795,-0.043186165,0.13652158,0.17319775,-0.021767259,-0.46393684,0.23317452,-0.05792414,0.28681135,0.01926715,0.11979988,-0.26858753,0.0028354302,-0.8394897,-0.04389572,0.047456224,-0.046457723
2022-04-09 14:00:00,-0.09889348,-0.0816096,-0.22996926,0.08607754,-0.028529018,-0.112687334,-0.0018784851,0.017917193,0.022743508,-0.23686776,0.07713015,-0.06888513,-0.08949593,-0.018331662,-0.16320878,-0.45305073,-0.04685337,0.15865833,0.16938454,-0.01109349,-0.4606375,0.23985289,-0.06432848,0.25337958,0.027678855,0.1375834,-0.2645623,0.009952426,-0.86207914,-0.043693684,0.05646423,-0.057634212
