date,open,high,low,close,tradecount,date_ordinal,processed_log_return,outliers_processed_log_return,normalized_outliers_processed_log_return,srl_input
2021-12-31 01:00:00,47073.99,47349.1,46842.28,47121.94,32790.0,1640912400.0,0.001018303216196879,0.001018303216196879,0.09172578362238261,0.09172578362238261
2021-12-31 02:00:00,47121.95,47127.53,46825.38,46994.85,26873.0,1640916000.0,-0.002700688734636218,-0.002700688734636218,-0.19909954372866012,-0.19909954372866012
2021-12-31 03:00:00,46994.85,47281.68,46906.7,47201.85,27771.0,1640919600.0,0.004395065500410452,0.004395065500410452,0.3557887366150819,0.3557887366150819
2021-12-31 04:00:00,47201.84,47474.0,47141.8,47344.83,28402.0,1640923200.0,0.003024540026080831,0.003024540026080831,0.24861358673997455,0.24861358673997455
2021-12-31 05:00:00,47344.82,47400.36,47200.0,47280.01,23042.0,1640926800.0,-0.001370042161001483,-0.001370042161001483,-0.09504292556922153,-0.09504292556922153
2021-12-31 06:00:00,47280.01,47550.0,47156.07,47385.55,28521.0,1640930400.0,0.002229745299698551,0.002229745299698551,0.18646060562765202,0.18646060562765202
2021-12-31 07:00:00,47385.56,47453.15,46836.86,47191.09,42197.0,1640934000.0,-0.0041122263178950905,-0.0041122263178950905,-0.3094818422511407,-0.3094818422511407
2021-12-31 08:00:00,47191.08,48548.26,47065.3,48433.9,97640.0,1640937600.0,0.025994878185314894,0.012633056754427484,1.0,1.0
2021-12-31 09:00:00,48433.9,48548.26,48203.0,48291.96,51348.0,1640941200.0,-0.0029348945956043514,-0.0029348945956043514,-0.21741445193068842,-0.21741445193068842
2021-12-31 10:00:00,48291.96,48456.47,47909.56,48027.42,42465.0,1640944800.0,-0.005492989368535375,-0.005492989368535375,-0.417457571025367,-0.417457571025367
2021-12-31 11:00:00,48027.42,48212.39,47900.0,47975.76,47164.0,1640948400.0,-0.0010762144542755775,-0.0010762144542755775,-0.07206558651522728,-0.07206558651522728
2021-12-31 12:00:00,47975.76,48108.6,47830.64,47978.84,41027.0,1640952000.0,6.41970265324702e-05,6.41970265324702e-05,0.017114639364689488,0.017114639364689488
2021-12-31 13:00:00,47978.92,48079.45,47886.0,47936.44,33124.0,1640955600.0,-0.000884113621142519,-0.000884113621142519,-0.057043293265086004,-0.057043293265086004
2021-12-31 14:00:00,47936.44,48170.0,47832.13,47976.51,46950.0,1640959200.0,0.0008355493670294478,0.0008355493670294478,0.07743442491243026,0.07743442491243026
2021-12-31 15:00:00,47976.51,48116.94,47861.77,48005.37,37787.0,1640962800.0,0.0006013635254850812,0.0006013635254850812,0.059121082230184585,0.059121082230184585
2021-12-31 16:00:00,48005.37,48118.45,47409.77,47471.66,47726.0,1640966400.0,-0.011179978244147957,-0.011179978244147957,-0.862180340866606,-0.862180340866606
2021-12-31 17:00:00,47471.67,47550.0,46889.0,47016.57,56092.0,1640970000.0,-0.009632808636927476,-0.009632808636927476,-0.741191612351965,-0.741191612351965
2021-12-31 18:00:00,47016.56,47040.52,46500.0,46686.41,50344.0,1640973600.0,-0.007046976868991383,-0.007046976868991383,-0.5389794590784744,-0.5389794590784744
2021-12-31 19:00:00,46686.42,46688.68,45678.96,45728.28,87472.0,1640977200.0,-0.020736191008521556,-0.012942377027129387,-1.0,-1.0
2021-12-31 20:00:00,45728.28,46211.07,45678.0,45879.24,51300.0,1640980800.0,0.003295802280159328,0.003295802280159328,0.2698263064455626,0.2698263064455626
2021-12-31 21:00:00,45886.66,46513.67,45766.85,46333.86,54579.0,1640984400.0,0.009860284132533445,0.009860284132533445,0.7831690640654111,0.7831690640654111
2021-12-31 22:00:00,46333.87,46569.97,46232.36,46303.99,36280.0,1640988000.0,-0.0006448768194676568,-0.0006448768194676568,-0.03833496528768275,-0.03833496528768275
2021-12-31 23:00:00,46303.98,46520.13,46132.04,46216.93,29555.0,1640991600.0,-0.0018819533073251352,-0.0018819533073251352,-0.1350743987943447,-0.1350743987943447
2022-01-01 00:00:00,46216.93,46731.39,46208.37,46656.13,38608.0,1640995200.0,0.009458141555815777,0.009458141555815777,0.751721497611413,0.751721497611413
2022-01-01 01:00:00,46656.14,46949.99,46574.06,46778.14,31872.0,1640998800.0,0.0026116770506380287,0.0026116770506380287,0.2163276846536898,0.2163276846536898
2022-01-01 02:00:00,46778.14,46928.94,46721.96,46811.77,24364.0,1641002400.0,0.0007186672462329537,0.0007186672462329537,0.06829423813829383,0.06829423813829383
2022-01-01 03:00:00,46811.77,46916.63,46760.12,46813.2,19882.0,1641006000.0,3.054740631936883e-05,3.054740631936883e-05,0.014483237645328072,0.014483237645328072
2022-01-01 04:00:00,46813.21,46887.33,46591.23,46711.05,23357.0,1641009600.0,-0.0021844610487768575,-0.0021844610487768575,-0.15873051692985557,-0.15873051692985557
2022-01-01 05:00:00,46711.05,47555.55,46673.94,47192.55,41431.0,1641013200.0,0.01025528776268548,0.01025528776268548,0.8140583645969927,0.8140583645969927
