date,ae_embedding_0,ae_embedding_1,ae_embedding_2,ae_embedding_3,ae_embedding_4,ae_embedding_5,ae_embedding_6,ae_embedding_7,ae_embedding_8,ae_embedding_9,ae_embedding_10,ae_embedding_11,ae_embedding_12,ae_embedding_13,ae_embedding_14,ae_embedding_15,ae_embedding_16,ae_embedding_17,ae_embedding_18,ae_embedding_19,ae_embedding_20,ae_embedding_21,ae_embedding_22,ae_embedding_23,ae_embedding_24,ae_embedding_25,ae_embedding_26,ae_embedding_27,ae_embedding_28,ae_embedding_29,ae_embedding_30,ae_embedding_31
2022-01-07 01:00:00,0.16566658,-0.10651179,-0.6100324,0.019875593,0.24849464,0.19722576,-0.09368546,0.2517705,-0.022430895,-0.13763091,0.18994156,-0.2588782,-0.17591342,0.07838264,-0.14135402,-0.10858157,0.033482607,-0.20419425,-0.0077658147,0.18378574,0.38022447,0.19240372,-0.17626315,-0.193041,0.5018068,-0.14583382,-0.29657775,0.060419127,-0.10655239,0.34829575,-0.22376344,0.12485646
2022-01-07 02:00:00,0.15210696,-0.097014345,-0.59354633,0.032859348,0.22804333,0.21480383,-0.0950858,0.23561212,-0.06052459,-0.15061678,0.20607355,-0.24398445,-0.1934951,0.08767593,-0.1396632,-0.112850115,0.025222566,-0.2159208,-0.030744683,0.18278897,0.3652658,0.18756828,-0.17427328,-0.23015013,0.46592548,-0.13293332,-0.3430155,0.07708527,-0.08588682,0.35742742,-0.19985726,0.14041063
2022-01-07 03:00:00,0.1428667,-0.09193109,-0.5798183,0.04734744,0.22439066,0.236015,-0.08825363,0.21389797,-0.09289988,-0.14583054,0.22325829,-0.24833111,-0.19914109,0.09843716,-0.14138381,-0.12187183,0.012304265,-0.22501975,-0.061597947,0.18988176,0.34928662,0.20056406,-0.18112668,-0.25124893,0.43029705,-0.11728538,-0.38192153,0.1121772,-0.05998282,0.36568367,-0.18778035,0.15397249
2022-01-07 04:00:00,0.18768737,-0.11560507,-0.57682204,0.063928775,0.21531424,0.25291866,-0.10465908,0.21208814,-0.07449561,-0.14163344,0.2671346,-0.27235702,-0.16370028,0.12152076,-0.14134118,-0.121242404,-0.0007722862,-0.21928796,-0.09238921,0.19688675,0.32170188,0.2193803,-0.20553991,-0.27579242,0.3809942,-0.13723421,-0.39980584,0.13742152,-0.03651811,0.33908993,-0.179475,0.1720795
2022-01-07 05:00:00,0.23542228,-0.09860473,-0.5586284,0.07295544,0.19142435,0.23081444,-0.107607976,0.19309232,-0.080666095,-0.14397787,0.3200534,-0.29141507,-0.1809276,0.10742989,-0.10763509,-0.12824526,-0.01117279,-0.2182281,-0.115738586,0.1728884,0.28715727,0.21833758,-0.20405218,-0.3050626,0.35714775,-0.107202895,-0.39115974,0.08633707,-0.047056004,0.31604028,-0.1392867,0.20526654
2022-01-07 06:00:00,0.2535826,-0.088105224,-0.54575133,0.078453764,0.19627555,0.22708493,-0.09417212,0.17818531,-0.10469231,-0.13653071,0.3404871,-0.30037576,-0.18227565,0.1011284,-0.1004926,-0.12988096,-0.016858626,-0.23325104,-0.14429235,0.17607874,0.2637512,0.23264201,-0.207798,-0.3012585,0.33307585,-0.07597283,-0.40627533,0.090720035,-0.040094405,0.30982286,-0.10941127,0.22182783
2022-01-07 07:00:00,0.2694678,-0.072728656,-0.531869,0.09061217,0.19737998,0.22558002,-0.088515654,0.163986,-0.121909715,-0.12447365,0.36012653,-0.2985575,-0.18156275,0.09075461,-0.0942952,-0.124955475,-0.016084176,-0.25550658,-0.18244876,0.17906795,0.23486763,0.23650578,-0.2073473,-0.29826814,0.3155805,-0.043958567,-0.41107413,0.09947037,-0.032372564,0.29679704,-0.08252931,0.24210177
2022-01-07 08:00:00,0.29385957,-0.07022963,-0.5204374,0.10628442,0.187583,0.21863009,-0.10403234,0.16086686,-0.12966315,-0.11612603,0.37669414,-0.28606087,-0.17262271,0.081000805,-0.085451804,-0.10531211,0.0027435012,-0.28469643,-0.2216097,0.18432544,0.19680433,0.22635984,-0.19877788,-0.30043906,0.3152551,-0.021007068,-0.40436968,0.099547595,-0.021920934,0.27029803,-0.059466872,0.26711565
2022-01-07 09:00:00,0.29385525,-0.08405161,-0.5140984,0.10135104,0.15219706,0.23644236,-0.16679613,0.21219862,-0.09188943,-0.15285951,0.36511046,-0.18882416,-0.09507188,0.053025346,-0.10560623,-0.05669239,0.030935086,-0.2930056,-0.20162813,0.16937919,0.1352217,0.16110323,-0.19396138,-0.35552564,0.33576733,-0.02614028,-0.41489923,0.034198873,0.0045534596,0.1723707,-0.014549639,0.2991757
2022-01-07 10:00:00,0.29198703,-0.046254124,-0.501716,0.107904635,0.13218929,0.22186159,-0.18337914,0.19491744,-0.10657672,-0.1381612,0.37229776,-0.15402731,-0.124034785,0.02915189,-0.07737332,-0.043352574,0.059785075,-0.3322363,-0.20344344,0.16553879,0.096789226,0.13729596,-0.18227246,-0.35812044,0.3666706,0.007077582,-0.39204904,0.004789889,-0.0102735385,0.17160554,0.0026689656,0.30943233
