date,open,high,low,close,tradecount,date_ordinal,processed_log_return,normalized_outliers_processed_log_return,processed_log_return_wtmra_0,processed_log_return_wtmra_1,processed_log_return_wtmra_2,processed_log_return_wtmra_3,processed_log_return_wtmra_4,processed_log_return_wtmra_5,processed_log_return_wtmra_5_4,processed_log_return_wtmra_5_4_3,processed_log_return_wtmra_5_4_3_2,processed_log_return_wtmra_5_4_3_2_1,processed_log_return_wtmra_5_4_3_2_1_0,processed_log_return_wtmra_0_1,processed_log_return_wtmra_0_1_2,processed_log_return_wtmra_0_1_2_3,processed_log_return_wtmra_0_1_2_3_4,processed_log_return_wtmra_0_1_2_3_4_5
2022-01-01,46216.93,47954.63,46208.37,47722.65,714899,1640995200.0,0.03205994678177879,0.48115570759525395,0.3803885701596265,0.1817856043512986,0.10598228679617033,-0.056862146246074025,-0.04225017312799529,-0.08788843433777226,-0.13013860746576755,-0.18700075371184158,-0.08101846691567124,0.10076713743562735,0.48115570759525383,0.5621741745109251,0.6681564613070954,0.6112943150610214,0.5690441419330261,0.48115570759525383
2022-01-02,47722.66,47990.0,46654.0,47286.18,709624,1641081600.0,-0.009188052743592882,-0.16652850154494264,-0.1694561852861128,0.15319311918856077,0.06412641731905973,-0.07930098093757808,-0.044011780307904494,-0.09107909152096767,-0.13509087182887217,-0.21439185276645023,-0.15026543544739052,0.0029276837411702505,-0.16652850154494256,-0.016263066097552042,0.047863351221507686,-0.03143762971607039,-0.07544941002397489,-0.16652850154494256
2022-01-03,47286.18,47570.0,45696.0,46446.1,885624,1641168000.0,-0.01792557472959721,-0.3037267919461375,-0.05612889126645398,-0.0038559481455956402,-0.00884333942060119,-0.09505090626588789,-0.04608132089156818,-0.09376638595603046,-0.13984770684759865,-0.23489861311348653,-0.24374195253408773,-0.24759790067968337,-0.30372679194613733,-0.059984839412049615,-0.0688281788326508,-0.16387908509853868,-0.20996040599010687,-0.30372679194613733
2022-01-04,46446.1,47557.54,45500.0,45832.01,1021815,1641254400.0,-0.013309745191831738,-0.23124812781468837,0.20841176075501203,-0.08722575395620308,-0.11099713535023592,-0.09714905646516885,-0.04847880985376235,-0.09580913294433008,-0.14428794279809243,-0.2414369992632613,-0.3524341346134972,-0.4396598885697003,-0.23124812781468826,0.12118600679880895,0.010188871448573028,-0.08696018501659582,-0.13543899487035815,-0.23124812781468823
2022-01-05,45832.01,47070.0,42500.0,43451.13,1478532,1641340800.0,-0.0533458970167032,-0.859903665782261,-0.32557236073968415,-0.10684157806925731,-0.19457795783755902,-0.0847700834908169,-0.05087553021450542,-0.097266155430438,-0.14814168564494343,-0.23291176913576034,-0.42748972697331933,-0.5343313050425766,-0.8599036657822607,-0.43241393880894147,-0.6269918966465005,-0.7117619801373174,-0.7626375103518228,-0.8599036657822609
2022-01-06,43451.14,43816.0,42430.58,43082.31,1150707,1641427200.0,-0.00852438625717462,-0.1561074797175867,0.320221194858253,-0.07883858355803171,-0.18828701209996992,-0.05810312330138511,-0.05306556526630586,-0.09803439035014698,-0.15109995561645284,-0.20920307891783796,-0.39749009101780786,-0.47632867457583955,-0.15610747971758654,0.24138261130022132,0.05309559920025139,-0.005007524101133719,-0.05807308936743958,-0.15610747971758657
2022-01-07,43082.3,43145.83,40610.0,41566.48,1406635,1641513600.0,-0.03581839879060997,-0.5846834379554401,-0.2626100524685388,-0.013632866031802748,-0.13370947870038966,-0.021813405267285212,-0.05474799568640017,-0.09816963980102333,-0.1529176354874235,-0.1747310407547087,-0.3084405194550983,-0.32207338548690106,-0.5846834379554399,-0.27624291850034155,-0.4099523972007312,-0.4317658024680164,-0.48651379815441653,-0.5846834379554399
2022-01-08,41566.48,42300.0,40501.0,41679.74,1021908,1641600000.0,0.0027210861918856148,0.020471142600747824,0.14434941113632951,0.037177954244165104,-0.026791112316890436,0.01869722901743587,-0.055199133340192295,-0.0977632061400999,-0.1529623394802922,-0.13426511046285633,-0.16105622277974677,-0.12387826853558166,0.020471142600747852,0.18152736538049463,0.1547362530636042,0.17343348208104006,0.11823434874084776,0.020471142600747866
2022-01-09,41679.74,42786.7,41200.02,41864.62,752733,1641686400.0,0.00442591939892638,0.047240769252313144,0.03628799124383208,0.01735002579605442,0.08794098619471223,0.05754606237892513,-0.0549780614939801,-0.09690623486723059,-0.1518842963612107,-0.09433823398228558,-0.0063972477875733486,0.01095277800848107,0.047240769252313144,0.05363801703988649,0.1415790032345987,0.19912506561352383,0.14414700411954373,0.047240769252313144
2022-01-10,41864.62,42248.5,39650.0,41822.49,1250983,1641772800.0,-0.0010068457032168852,-0.0380655779430643,-0.1549965273703634,0.03585228553226845,0.138399039471749,0.09276261027881046,-0.054360386962714974,-0.0957225988928138,-0.15008298585552876,-0.057320375576718305,0.0810786638950307,0.11693094942729915,-0.038065577943064255,-0.11914424183809495,0.01925479763365405,0.1120174079124645,0.05765702094974953,-0.03806557794306427
2022-01-11,41822.49,43100.0,41268.93,42729.29,1015526,1641859200.0,0.02145040043967803,0.3145625222046982,0.06028306235431449,0.1288038941420159,0.1532222315797366,0.11988769823076328,-0.053345481194030965,-0.09428888290810117,-0.14763436410213213,-0.027746665871368842,0.12547556570836776,0.2542794598503837,0.31456252220469816,0.1890869564963304,0.34230918807606703,0.4621968863068303,0.4088514051127993,0.31456252220469816
2022-01-12,42729.29,44322.0,42450.0,43902.66,1023902,1641945600.0,0.027090276943410884,0.4031209734023548,0.2575645784264922,0.03953508198791524,0.12095947118324178,0.1303094178084592,-0.0525280131962698,-0.09271956280748382,-0.14524757600375363,-0.014938158195294426,0.10602131298794736,0.1455563949758626,0.4031209734023548,0.29709966041440744,0.41805913159764924,0.5483685494061085,0.49584053620983864,0.4031209734023548
2022-01-13,43902.65,44500.0,42311.22,42560.11,1036234,1642032000.0,-0.03105748088409937,-0.509926567694059,-0.41567514172430176,-0.1405380771529953,0.06824784562026602,0.12082341921470202,-0.05178161705568262,-0.09100299659604726,-0.14278461365172987,-0.021961194437027848,0.04628665118323817,-0.09425142596975712,-0.5099265676940589,-0.556213218877297,-0.487965373257031,-0.36714195404232897,-0.4189235710980116,-0.5099265676940589
2022-01-14,42558.35,43448.78,41725.95,43059.96,946938,1642118400.0,0.011676133382902501,0.1610850565957599,0.2268454342912048,-0.07028702591893482,0.052550683845591264,0.09168867791138233,-0.05062228699586229,-0.08909042653762139,-0.1397127135334837,-0.04802403562210136,0.004526648223489901,-0.06576037769544492,0.1610850565957599,0.15655840837226997,0.20910909221786123,0.3007977701292436,0.2501754831333813,0.1610850565957599
2022-01-15,43059.96,43800.0,42555.0,43084.29,752688,1642204800.0,0.0005648665034966843,-0.01338624344648792,-0.030795190735558448,0.0563589484639501,0.048580888004881376,0.04890721807936755,-0.049451120310144744,-0.08698698694898374,-0.13643810725912847,-0.08753088917976093,-0.03895000117487955,0.017408947289070546,-0.013386243446487901,0.025563757728391652,0.07414464573327303,0.12305186381264058,0.07360074350249583,-0.013386243446487908
2022-01-16,43084.29,43475.0,42581.79,43071.66,732171,1642291200.0,-0.0002931892710942959,-0.02685960414661826,0.061999423125348146,-0.0006326098173273301,0.04285056242041026,0.0014678798127492905,-0.04778970860164513,-0.08475515108615347,-0.1325448596877986,-0.13107697987504932,-0.08822641745463906,-0.0888590272719664,-0.026859604146618254,0.061366813308020816,0.10421737572843107,0.10568525554118036,0.057895546939535227,-0.026859604146618248
2022-01-17,43071.66,43176.18,41540.42,42201.62,918029,1642377600.0,-0.020406631301085873,-0.34268483068322325,-0.1805815590126853,-0.011510056294681702,0.02066387963054073,-0.0437645319854728,-0.045044244951218976,-0.08244831806970508,-0.12749256302092404,-0.17125709500639685,-0.15059321537585613,-0.16210327167053784,-0.34268483068322314,-0.19209161530736701,-0.1714277356768263,-0.2151922676622991,-0.2602365126135181,-0.3426848306832232
