date,open,high,low,close,tradecount,date_ordinal,processed_log_return,TI_SMA_5_Feature,TI_SMA_14_Feature,TI_SMA_21_Feature,TI_EMA_5_Feature,TI_EMA_14_Feature,TI_EMA_21_Feature,MI_RSI_5_Feature,MI_RSI_14_Feature,MI_RSI_21_Feature,MI_MACD_12_26_Feature,MI_Signal_Line_12_26_Feature,MI_MACD_8_17_Feature,MI_Signal_Line_8_17_Feature,MI_MACD_13_30_Feature,MI_Signal_Line_13_30_Feature,VolI_BB_Middle_Band_20_1_Feature,VolI_BB_Upper_Band_20_1_Feature,VolI_BB_Lower_Band_20_1_Feature,VolI_BB_Middle_Band_20_2_Feature,VolI_BB_Upper_Band_20_2_Feature,VolI_BB_Lower_Band_20_2_Feature,VolI_BB_Middle_Band_20_3_Feature,VolI_BB_Upper_Band_20_3_Feature,VolI_BB_Lower_Band_20_3_Feature,MI_Stochastic_Osclilator_percK_5_Feature,MI_Stochastic_Osclilator_percD_5_Feature,MI_Stochastic_Osclilator_percK_14_Feature,MI_Stochastic_Osclilator_percD_14_Feature,MI_Stochastic_Osclilator_percK_21_Feature,MI_Stochastic_Osclilator_percD_21_Feature,VolI_ATR_5_Feature,VolI_ATR_14_Feature,VolI_ATR_21_Feature,close_log_returns,open_log_returns,high_log_returns,low_log_returns,close_perc_change,high_low_range,close_open_range
2022-02-05,41571.7,41913.69,40843.01,41382.59,1380724.0,1643932800.0,0.108176446956934,38588.742,37543.78214285714,38814.70809523809,38933.28623141924,38642.77066776423,39220.252576864885,75.32936842755132,70.779577516145,46.15212883716184,-1164.7345157141754,-1680.8896443581345,-280.09219390332146,-949.3690074209753,-1516.9442986543363,-2017.9616073773489,38601.229,41007.77270304214,36194.68529695786,38601.229,43414.31640608427,33788.14159391573,38601.229,45820.860109126406,31381.597890873592,96.41310823511088,47.72480364524504,97.76311212897338,63.01632350936205,79.54805873104698,51.427280448243096,2364.9386908826236,2225.1678379707123,2180.5812867879704,0.108176446956934,0.011201282483596425,0.11091110820187791,0.02120070294727667,0.11424433306415893,4745.5999999999985,4262.269999999997
2022-02-06,41382.6,42656.0,41116.56,42380.87,1006352.0,1644019200.0,-0.0046207242467869,39171.88,37994.58,38733.67476190476,39749.72082094616,39008.079912062334,39416.8287062408,71.14206863346514,78.27820777179461,45.63060328846079,-852.4401913312176,-1515.1997537527513,62.65155406836857,-746.9648951231065,-1200.272670266284,-1869.2908915389735,38516.7755,40783.77174023669,36249.779259763316,38516.7755,43050.76798047338,33982.78301952663,38516.7755,45317.764220710065,31715.786779289938,90.62272122944573,74.08147972511843,94.0966062433029,81.85429976704121,79.95424935987825,66.62729282613573,2106.086952706099,2142.704420972804,2127.728844559972,-0.004620724246786973,0.10810519259718561,0.0033783452588058392,0.09809560858532033,-0.004610065124446061,1070.6800000000003,-189.11000000000058
2022-02-07,42380.87,44500.5,41645.85,43839.99,788291.0,1644105600.0,0.0238368201984735,39909.136,38432.88857142858,38700.78,40626.77054729744,39457.78525712069,39686.287005673454,74.0428590436287,77.93243398256774,48.31173604828094,-518.4158609305305,-1315.8429751883073,408.9832426890862,-515.775267560668,-857.0829528466857,-1685.253084504012,38525.738,40808.369305951914,36243.10669404808,38525.738,43091.00061190383,33960.475388096165,38525.738,45373.631917855746,31677.84408214425,95.70512019981273,94.24698322145645,97.17491731552971,96.34487856260199,89.38281026423736,82.96170611838754,1992.7575621648798,2099.6141051890327,2099.7150900571164,0.02383682019847353,-0.00455914467482583,0.017555440122667652,0.006675267226589189,0.02412318803632174,1539.4400000000023,998.2700000000041
2022-02-08,43839.99,45492.0,42666.0,44042.99,1473274.0,1644192000.0,0.0338493333568956,41297.862,38945.719999999994,38778.79761904762,41697.843698198296,40042.079222837936,40063.89636879405,97.38417759094844,79.84666856231617,53.89204600794291,-134.41097687381261,-1079.5565755254083,800.4485275950283,-252.53050852952876,-459.69024899090437,-1462.423478047083,38600.1315,41033.3132501074,36166.94974989261,38600.1315,43466.495000214796,33733.76799978521,38600.1315,45899.67675032219,31300.586249677814,91.99430337555297,92.77404826827048,92.6556876140408,94.64240372429113,94.29775375474927,87.87827112628831,2165.136049731904,2153.5452405326732,2135.664371482968,0.033849333356895696,0.023836578550988488,0.042332481067829615,0.012790763732659187,0.03442874108058658,2854.6500000000015,1459.1199999999953
2022-02-09,44043.0,44799.0,43117.92,44372.72,1653350.0,1644278400.0,0.0046197878370261,42644.138,39451.767857142855,38859.31523809524,42479.5591321322,40575.53399312621,40425.63215344913,97.30614080706138,79.6862704346172,54.00676866584486,184.17303173899563,-826.8106540725277,1073.8825880832082,12.75211079301863,-120.90356249833712,-1218.5107661291293,38719.2805,41359.70528325282,36078.85571674718,38719.2805,44000.13006650563,33438.43093349437,38719.2805,46640.55484975845,30798.00615024155,82.88288501134633,90.19410286223734,85.48811766461456,91.772907531395,88.47690187461778,90.71915529786814,2297.3088397855236,2201.577723351768,2168.5374966504455,0.004619787837026135,0.033849333356895696,0.022036061258070328,0.02420062633690687,0.004630475508776266,2826.0,203.0
2022-02-10,44372.71,45821.0,43174.01,43495.44,1066395.0,1644364800.0,0.0074586638193073,43203.832,39992.00928571429,38988.491904761904,43110.6127547548,41081.825460709384,40784.45832131739,93.97634664764165,81.21926936628442,56.54049925281333,457.9802973844853,-569.8524637811252,1273.044467233478,264.8105820811105,177.69597932057513,-964.6549942291829,38903.871,41804.841187217615,36002.90081278238,38903.871,44705.81137443524,33101.93062556476,38903.871,47606.78156165285,30200.960438347145,75.9242330054485,83.60047379744927,88.79037435190222,88.97805987685253,91.09904467893404,91.29123343610036,2174.063071828419,2164.399314540927,2145.3252349051863,0.007458663819307352,0.0046200148878887655,-0.015350668578956856,0.01053633783103238,0.007486548937753801,1681.0800000000017,329.72000000000116
2022-02-11,43495.44,43920.0,41938.51,42373.73,1541483.0,1644451200.0,-0.0199687611802417,43626.402,40444.53357142857,39122.51714285714,43238.888503169874,41403.640732614804,41030.91120119763,77.31608492505325,75.06099760756469,56.81947589572964,597.3000605268462,-336.42195891953094,1281.8278783192654,468.21404132874153,346.7612711078982,-726.2156732588044,39256.377499999995,42269.06732416201,36243.68767583798,39256.377499999995,45281.757148324024,33230.997851675966,39256.377499999995,48294.44697248604,30218.308027513947,50.566698693149526,69.79127223664813,75.94079861452373,83.40643021034684,81.97775389167404,87.1845668150753,2268.6484574627348,2198.8700777880035,2169.2140332430345,-0.019968761180241705,0.007458211404727595,0.022556683574729203,0.0013000058730732894,-0.01977070596528674,2646.989999999998,-877.2699999999968
2022-02-12,42373.73,43079.49,41688.88,42217.87,1169354.0,1644537600.0,-0.0261275102636211,43624.974,40777.188571428575,39404.822857142855,42950.50233544659,41532.98596826617,41152.98563745239,49.91054514838982,67.63399567893899,66.91699843854155,610.1657432107386,-147.10441849347703,1131.6158445435212,600.8944019716976,391.2532905953558,-523.0394980125934,39621.493,42541.36619769038,36701.61980230962,39621.493,45461.23939538077,33781.746604619235,39621.493,48381.11259307115,30861.873406928855,17.43362513921666,47.974852279271566,63.98213352836698,76.23776883159765,73.2849084341626,82.12056900159023,2211.216765970187,2183.3429293745744,2160.274793564795,-0.02612751026362113,-0.01996853581652436,-0.042372704116695255,-0.02903419593411671,-0.025789140194926174,1981.489999999998,-1121.7099999999991
2022-02-13,42217.87,42760.0,41870.0,42053.66,830322.0,1644624000.0,-0.003685003626171,43300.55,41066.54785714286,39745.13,42706.291556964396,41624.303839164015,41249.793306774896,19.82192158000889,65.6886900524915,71.91618033556082,600.8589619150807,2.488257588234532,982.5066398456474,677.2168495464875,411.112667598245,-353.1936497197137,39920.159,42781.34142240201,37058.97657759799,39920.159,45642.52384480402,34197.79415519598,39920.159,48503.70626720603,31336.611732793972,12.801903139308754,26.93407565722498,62.35367255250238,67.42553489846436,72.07704999213415,75.77990410599027,2047.09541277615,2126.7191487049618,2123.6240891093285,-0.0036850036261710803,-0.02612751026362113,-0.019322783423273735,-0.0059700713232136654,-0.003678222332563097,1390.6100000000006,-155.86000000000058
2022-02-14,42053.65,42842.4,41550.56,42535.94,624898.0,1644710400.0,-0.0038971692535803,42902.684,41364.54071428571,40021.75428571428,42488.747704642934,41681.55132727548,41322.87209706808,12.448325461814761,66.30948099266604,68.99006415767634,573.6205553510881,116.71471714080526,836.9138158608039,709.1562428093508,410.38334162269166,-214.36146947563992,40189.8245,42980.90064025862,37398.74835974139,40189.8245,45771.97678051722,34607.67221948278,40189.8245,48563.05292077584,31816.596079224168,8.827914000561597,13.021147426362338,60.63796886427754,62.324591648382295,70.80448208012663,72.05548016880779,1815.6763302209197,2038.3820666546073,2064.880084866027,-0.003897169253580327,-0.0036850036261710803,-0.007443927621157,0.004335153454840677,-0.0038895851448687013,890.0,-164.20999999999913
