date,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63
2022-06-18,0.058958415,-0.07606508,0.11196372,-0.53663445,-0.27552027,0.43730983,-0.06683764,0.5149121,-0.131907,-1.0430688,0.27291065,0.04419343,0.20142749,1.1832695,0.4439542,0.08550602,-0.1534054,0.057042778,-0.013227697,0.21721594,-0.3741802,-0.10486625,0.5278932,1.1507754,0.14281458,-0.024974693,0.4134905,0.2657513,0.015443448,0.5001216,-0.02823599,-0.053424142,0.00033818884,-0.08531473,-0.29160407,-0.14848505,-0.3340327,-0.115131214,-0.43824658,-1.2240924,-0.7259894,1.1707988,-0.13341618,-0.157493,0.18350504,-0.3154213,-0.06423046,-0.82360494,-0.6416373,0.40936524,0.12133939,0.26599777,-0.6252959,1.186441,0.6213213,-0.054750696,-0.04067266,-0.2346818,-0.48402864,-0.37622973,-0.086489685,0.54143125,-0.03968277,-0.72343266
2022-06-19,0.057126537,-0.08404699,0.11011711,-0.5804736,-0.26671848,0.49250937,-0.03368303,0.50968003,-0.124093175,-1.0805534,0.25158423,0.044743,0.2093803,1.193463,0.53805035,0.0725756,-0.15135962,0.06907061,-0.044628724,0.2440908,-0.36918384,-0.11640103,0.540903,1.2162592,0.14017594,-0.03775212,0.43920702,0.33346215,-0.009060886,0.5122209,-0.0131055005,-0.06419877,-0.05946005,-0.07740795,-0.35621482,-0.13904224,-0.3907398,-0.10884435,-0.4363216,-1.2450854,-0.75343186,1.2111813,-0.18788405,-0.15274386,0.16352111,-0.33276755,-0.09436756,-0.90425605,-0.7013562,0.43283257,0.12248161,0.27635288,-0.6514989,1.2537985,0.6272113,-0.09637758,-0.054106005,-0.2541,-0.4959604,-0.39486527,-0.07765693,0.5038512,-0.05444113,-0.7372974
2022-06-20,0.06507248,-0.08589648,0.11143747,-0.6022198,-0.27687523,0.52604777,-0.011411041,0.5212149,-0.11941384,-1.105596,0.23092663,0.046436056,0.22021449,1.2042415,0.6010705,0.06849009,-0.15931827,0.080081224,-0.078016356,0.27214685,-0.3535386,-0.1310137,0.55736053,1.2593708,0.13692647,-0.03449203,0.4667132,0.38561794,-0.027782436,0.5139834,-0.0018487908,-0.06446977,-0.10950797,-0.09142909,-0.38490418,-0.13696937,-0.4403804,-0.109854594,-0.44020766,-1.257086,-0.7643736,1.2410803,-0.22500472,-0.14209174,0.13862479,-0.34173876,-0.1196588,-0.95578784,-0.7430464,0.42976093,0.11500826,0.29305437,-0.6637097,1.2920958,0.6432734,-0.10723611,-0.058134176,-0.2560932,-0.50279844,-0.41696447,-0.067450866,0.47963044,-0.06871403,-0.7392756
2022-06-21,0.06633511,-0.08640863,0.10850912,-0.61304444,-0.28079417,0.5419546,0.0043488145,0.52873445,-0.12037718,-1.1200854,0.21645045,0.04376869,0.23325494,1.207474,0.62860376,0.06507994,-0.16594966,0.09390026,-0.106190056,0.28172463,-0.3358363,-0.14116953,0.56786424,1.2783508,0.12596993,-0.024631085,0.48154053,0.41671053,-0.04547153,0.51457655,0.006059196,-0.05704163,-0.13834125,-0.10278956,-0.39321277,-0.13461205,-0.46612144,-0.11393509,-0.44204322,-1.2587872,-0.7645644,1.2503692,-0.24127097,-0.13171794,0.11473113,-0.33793855,-0.12890784,-0.9770113,-0.77021915,0.41640493,0.112495564,0.30430523,-0.66900295,1.3044122,0.65780944,-0.11188326,-0.052118056,-0.2494721,-0.50737554,-0.433728,-0.057676017,0.46556142,-0.07850409,-0.7314961
2022-06-22,0.068514295,-0.08447403,0.10415372,-0.6169443,-0.28496456,0.54854745,0.013080031,0.53538793,-0.12111592,-1.1276393,0.20642774,0.039815903,0.24427319,1.2096272,0.64169806,0.06292895,-0.17114598,0.1053116,-0.124902904,0.2867151,-0.3210855,-0.1481748,0.57345456,1.2877555,0.114857376,-0.012790063,0.49218598,0.43717638,-0.05906784,0.51282954,0.012778338,-0.046979442,-0.15628228,-0.110088386,-0.39488843,-0.13305503,-0.48302823,-0.11731945,-0.44259876,-1.2577895,-0.7588952,1.2540271,-0.25010604,-0.1272293,0.096408784,-0.3311015,-0.13028821,-0.9849656,-0.78775847,0.40135914,0.11096815,0.31297854,-0.6714273,1.3081958,0.6689084,-0.11225011,-0.046142094,-0.241463,-0.50953996,-0.44752672,-0.049359486,0.45700887,-0.08491511,-0.7231525
2022-06-23,0.06533608,-0.08336152,0.09739371,-0.6211423,-0.28302857,0.55151314,0.019481465,0.53455853,-0.1236628,-1.1334845,0.19986483,0.034229487,0.25432214,1.2077317,0.647399,0.060309388,-0.1734001,0.11468053,-0.13801031,0.2844018,-0.31001896,-0.15175067,0.5746127,1.2910562,0.101101115,-0.0016466938,0.49758968,0.44955158,-0.07182133,0.51272744,0.01769438,-0.036442734,-0.1657912,-0.11100682,-0.39781597,-0.1305403,-0.49024802,-0.120065466,-0.4392572,-1.2542413,-0.75396925,1.2515041,-0.25379246,-0.12556331,0.08275887,-0.32244098,-0.12679157,-0.98655033,-0.8007651,0.38910675,0.11413515,0.31552234,-0.6740375,1.3067473,0.6767396,-0.11736242,-0.039652057,-0.23357694,-0.5103424,-0.4556942,-0.04259853,0.4492202,-0.089728676,-0.71413195
2022-06-24,0.07131583,-0.07736288,0.09447293,-0.61432356,-0.28945786,0.54665864,0.021708578,0.5403297,-0.12273769,-1.1274158,0.19387393,0.033595905,0.2574094,1.208216,0.6425662,0.062235378,-0.17796563,0.12302229,-0.14642045,0.2877394,-0.2982693,-0.15649672,0.5760725,1.2886393,0.093660764,0.009980256,0.50583506,0.45804438,-0.081516266,0.50546116,0.023207959,-0.026600458,-0.17240623,-0.11835594,-0.39263034,-0.13158919,-0.501431,-0.12001406,-0.44014362,-1.2499484,-0.73996544,1.250842,-0.2537731,-0.12931727,0.07504973,-0.31227374,-0.12322806,-0.97787416,-0.8030666,0.372026,0.11286419,0.3228133,-0.6716299,1.300571,0.68465126,-0.10634001,-0.034074463,-0.22581725,-0.50764745,-0.46628052,-0.03655061,0.44685748,-0.094869606,-0.7008953
2022-06-25,0.0673406,-0.0736783,0.08974892,-0.61012053,-0.28623033,0.5386504,0.025041446,0.5350224,-0.1239427,-1.1196698,0.19013214,0.030736253,0.26094657,1.2015996,0.6296074,0.06396678,-0.17729956,0.13115808,-0.15294635,0.28097343,-0.28765234,-0.15751891,0.5727707,1.2792238,0.08124309,0.020610536,0.5067375,0.46043956,-0.09344137,0.5007975,0.02743816,-0.01590699,-0.17121193,-0.11721771,-0.39015785,-0.13096242,-0.50258315,-0.118629836,-0.43561524,-1.2413212,-0.72648245,1.2417382,-0.2480738,-0.13517505,0.070650965,-0.29856616,-0.114365414,-0.96389204,-0.8027388,0.35630754,0.117935054,0.32432446,-0.67194,1.2878013,0.69070536,-0.10365323,-0.025936998,-0.21899273,-0.5030436,-0.47069925,-0.03164825,0.44415545,-0.09832873,-0.6839235
2022-06-26,0.06619047,-0.06916574,0.08529788,-0.60135883,-0.28285968,0.5256394,0.026662692,0.527339,-0.122009486,-1.105007,0.18821783,0.02846396,0.26030332,1.1912843,0.609302,0.067121804,-0.17730615,0.13748342,-0.15600327,0.27293336,-0.2765633,-0.15819208,0.5660179,1.2635497,0.06990685,0.03046249,0.5066088,0.45726714,-0.10417563,0.49282888,0.032355364,-0.005390875,-0.1661403,-0.11637408,-0.38475966,-0.12972194,-0.50245565,-0.11498859,-0.42949906,-1.2300621,-0.70752984,1.2299093,-0.23836993,-0.14414416,0.07060453,-0.28427774,-0.10424325,-0.94346756,-0.7953887,0.34006733,0.121896856,0.32562032,-0.6698643,1.2697693,0.6943693,-0.09421019,-0.018378861,-0.21160638,-0.49704063,-0.4733196,-0.026338845,0.44100642,-0.10274599,-0.6644809
2022-06-27,0.06038499,-0.06819622,0.08125244,-0.5984476,-0.27378854,0.5158342,0.027967662,0.5143129,-0.121001214,-1.0971366,0.1896847,0.022828564,0.26037997,1.1803062,0.59485817,0.06838557,-0.17634845,0.13868764,-0.15589112,0.2617608,-0.2699911,-0.15649636,0.5567769,1.2511214,0.055839952,0.037087373,0.5038259,0.45235023,-0.11221889,0.48881853,0.035708483,0.0033367202,-0.15918793,-0.108858086,-0.3868158,-0.12759358,-0.49915558,-0.11260476,-0.42128178,-1.2219111,-0.69629294,1.2181374,-0.2295854,-0.15315202,0.0737426,-0.27448446,-0.0941529,-0.9311872,-0.7915046,0.33211288,0.12968856,0.32111037,-0.66971856,1.2570014,0.69667584,-0.09338348,-0.012583502,-0.20642442,-0.49268305,-0.47106063,-0.022868633,0.43615916,-0.105908714,-0.6506257
