date,open,high,low,close,volume,date_ordinal,processed_log_return,outliers_processed_log_return,normalized_outliers_processed_log_return,srl_input
2024-05-08 14:00:00,516.905029296875,517.7171020507812,516.635009765625,517.030029296875,5484059.0,1715176800.0,0.0002514771343207205,0.0002514771343207205,0.07922025658938403,0.07922025658938403
2024-05-08 15:00:00,517.02001953125,517.260009765625,516.6300048828125,516.8300170898438,3620211.0,1715180400.0,-0.0003869231821572019,-0.0003869231821572019,-0.06486517204452948,-0.06486517204452948
2024-05-08 16:00:00,516.8300170898438,516.9600219726562,516.0999755859375,516.2899780273438,3924880.0,1715184000.0,-0.0010454528307256652,-0.0010454528307256652,-0.21349374291618697,-0.21349374291618697
2024-05-08 17:00:00,516.280029296875,517.39501953125,516.2000122070312,517.260009765625,3134530.0,1715187600.0,0.001877087774293113,0.001877087774293113,0.44611670041402113,0.44611670041402113
2024-05-08 18:00:00,517.27001953125,517.469970703125,516.5698852539062,517.3099975585938,4733042.0,1715191200.0,9.663491625268837e-05,9.663491625268837e-05,0.044272737321150904,0.044272737321150904
2024-05-08 19:00:00,517.3049926757812,517.739990234375,517.1900024414062,517.1900024414062,6856902.0,1715194800.0,-0.00023198669449138096,-0.00023198669449138096,-0.02989637635293948,-0.02989637635293948
2024-05-09 13:00:00,517.3800048828125,518.3900146484375,516.7050170898438,518.0650024414062,8433974.0,1715259600.0,0.0030621507551297604,0.0030621507551297604,0.7135825884230798,0.7135825884230798
2024-05-09 14:00:00,518.0599975585938,519.510009765625,518.0599975585938,519.3400268554688,6359947.0,1715263200.0,0.0024581046362016964,0.0024581046362016964,0.5772508202300859,0.5772508202300859
2024-05-09 15:00:00,519.3400268554688,519.4550170898438,518.3400268554688,518.7999877929688,3513163.0,1715266800.0,-0.0010403974484995194,-0.0010403974484995194,-0.21235275520649857,-0.21235275520649857
2024-05-09 16:00:00,518.8099975585938,519.6400146484375,518.530029296875,519.5,3961316.0,1715270400.0,0.0013483816263522228,0.0013483816263522228,0.3267889839621717,0.3267889839621717
2024-05-09 17:00:00,519.5,519.5800170898438,518.9299926757812,519.47998046875,2732680.0,1715274000.0,-3.85368950871643e-05,-3.85368950871643e-05,0.013764781931065026,0.013764781931065026
2024-05-09 18:00:00,519.489990234375,520.0599975585938,519.340087890625,519.6699829101562,4331181.0,1715277600.0,0.00036568820712993514,0.00036568820712993514,0.10499742329137436,0.10499742329137436
2024-05-09 19:00:00,519.6300048828125,520.2073974609375,519.5700073242188,520.1300048828125,9283329.0,1715281200.0,0.0008848278670324001,0.0008848278670324001,0.222166006212178,0.222166006212178
2024-05-10 13:00:00,521.3699951171875,522.635009765625,520.5999755859375,520.780029296875,11217945.0,1715346000.0,-0.00046692633157098524,-0.00046692633157098524,-0.08292169203334224,-0.08292169203334224
2024-05-10 14:00:00,520.77001953125,521.3699951171875,520.010009765625,520.5399780273438,6669175.0,1715349600.0,-0.0004610518804884312,-0.0004610518804884312,-0.08159584243651168,-0.08159584243651168
2024-05-10 15:00:00,520.5499877929688,520.6599731445312,519.5900268554688,520.3099975585938,5504961.0,1715353200.0,-0.0004419089741788385,-0.0004419089741788385,-0.07727533414457712,-0.07727533414457712
2024-05-10 16:00:00,520.4000244140625,520.77001953125,520.0050048828125,520.1099853515625,3547711.0,1715356800.0,-0.0003844835985094344,-0.0003844835985094344,-0.06431456383443937,-0.06431456383443937
2024-05-10 17:00:00,520.1300048828125,520.9498901367188,519.9099731445312,520.6699829101562,3791822.0,1715360400.0,0.001076111435099165,0.001076111435099165,0.2653382512504953,0.2653382512504953
2024-05-10 18:00:00,520.6599731445312,521.139892578125,520.114990234375,521.030029296875,3716946.0,1715364000.0,0.000691266961384054,0.000691266961384054,0.1784797715138985,0.1784797715138985
2024-05-10 19:00:00,521.030029296875,521.3400268554688,520.760009765625,520.8400268554688,7096245.0,1715367600.0,-0.00036473347590822755,-0.00036473347590822755,-0.05985700827389848,-0.05985700827389848
