date,open,high,low,close,volume,date_ordinal,processed_log_return,outliers_processed_log_return,srl_input,TI_SMA_5_Feature,TI_SMA_14_Feature,TI_SMA_21_Feature,TI_EMA_5_Feature,TI_EMA_14_Feature,TI_EMA_21_Feature,MI_RSI_5_Feature,MI_RSI_14_Feature,MI_RSI_21_Feature,MI_MACD_12_26_Feature,MI_Signal_Line_12_26_Feature,MI_MACD_8_17_Feature,MI_Signal_Line_8_17_Feature,MI_MACD_13_30_Feature,MI_Signal_Line_13_30_Feature,VolI_BB_Middle_Band_20_1_Feature,VolI_BB_Upper_Band_20_1_Feature,VolI_BB_Lower_Band_20_1_Feature,VolI_BB_Middle_Band_20_2_Feature,VolI_BB_Upper_Band_20_2_Feature,VolI_BB_Lower_Band_20_2_Feature,VolI_BB_Middle_Band_20_3_Feature,VolI_BB_Upper_Band_20_3_Feature,VolI_BB_Lower_Band_20_3_Feature,MI_Stochastic_Osclilator_percK_5_Feature,MI_Stochastic_Osclilator_percD_5_Feature,MI_Stochastic_Osclilator_percK_14_Feature,MI_Stochastic_Osclilator_percD_14_Feature,MI_Stochastic_Osclilator_percK_21_Feature,MI_Stochastic_Osclilator_percD_21_Feature,VolI_ATR_5_Feature,VolI_ATR_14_Feature,VolI_ATR_21_Feature,close_log_returns,open_log_returns,high_log_returns,low_log_returns,close_perc_change,high_low_range,close_open_range
2024-05-13 18:00:00,520.7949829101562,521.1395263671875,520.469970703125,520.7899780273438,4574705.0,1715619600.0,-0.000137344431573,-0.000137344431573,-0.0085358433652545,521.1512939453125,520.7026062011719,519.9772135416666,520.9570189047953,520.4995081139782,520.0314804346245,48.87100722065843,62.95565791530866,70.42135326681006,0.8946709073730972,0.9102108878168287,0.5781201350260972,0.7028892327069975,1.0288868865899303,0.9942954263056979,520.1105743408203,521.2406366343018,518.9805120473388,520.1105743408203,522.3706989277833,517.8504497538573,520.1105743408203,523.5007612212648,516.7203874603758,36.006665972294556,40.082256762749346,43.6919185439082,54.00534609121658,69.26278716081006,73.43585749265145,1.0460303865807847,1.0593008979668554,1.0642941999741662,-0.0001373444315730227,-0.0008155942819825962,-0.0008634227869093914,0.001105734349947024,-0.0001373350002583651,0.58502197265625,-0.07000732421875
2024-05-13 19:00:00,520.7849731445312,521.0999755859375,520.64501953125,520.9099731445312,6152975.0,1715623200.0,-9.610128794601458e-06,-9.610128794601458e-06,0.0202934840834254,520.97529296875,520.7826058523996,520.1429268973214,520.9013386123115,520.5382374357603,520.1004347612354,12.390442404006677,61.45185850869967,70.20869367964386,0.8406860093347177,0.8963059121204066,0.5048862638212768,0.6632886389298535,0.979871662187179,0.9916729237386944,520.2905731201172,521.195170526774,519.3859757134604,520.2905731201172,522.0997679334306,518.4813783068038,520.2905731201172,523.0043653400874,517.576780900147,54.403719047468456,42.952821114979166,39.35420358338256,44.94165295532709,68.4825539752379,69.95697376761137,0.9707354420771278,1.031461952687973,1.0454971268355155,-9.610128794601458e-06,-0.00013441492642332457,0.0004596792073061007,0.00029779112278265405,-9.610082617461657e-06,0.6695556640625,-0.0050048828125
2024-05-14 13:00:00,521.1099853515625,522.4099731445312,520.8800048828125,522.22998046875,11241200.0,1715626800.0,0.0002303832645538,0.0002303832645538,0.0744594204988344,520.9292846679688,520.8383178710938,520.320068359375,520.9042167897181,520.5878021969297,520.1740291597168,34.86466950445747,58.57110279421036,71.602347803896,0.7983819417660243,0.8767211180495301,0.45512190258148166,0.6216552916601792,0.9409385959279462,0.9824485005003765,520.4328216552734,521.1788085157367,519.6868347948101,520.4328216552734,521.9247953762001,518.9408479343467,520.4328216552734,522.6707822366634,518.1948610738834,71.55816037031506,53.98951513002603,42.85601046331893,41.96737753020323,70.49421876598792,69.41318663401195,0.8675795645992022,0.9902829599736533,1.0173761233998957,0.00023038326455385795,-1.922034994455489e-05,-7.58957632960491e-05,0.00033627184588923265,0.00023040980481625617,0.4549560546875,0.125
2024-05-14 14:00:00,522.22998046875,522.280029296875,520.6400146484375,521.9199829101562,5978402.0,1715691600.0,-0.0001170426186459,-0.0001170426186459,-0.0039537726141333,521.1182861328125,520.9418858119419,520.5184006463913,521.3461380160621,520.8067592998391,520.3609338241744,74.41882471690377,63.88849913474581,72.99793069513814,0.8614390891439143,0.873664712268407,0.5561468147220694,0.6085535962725572,1.0044588438115625,0.9864503811024101,520.5773193359375,521.3783521973347,519.7762864745404,520.5773193359375,522.1793850587319,518.9752536131432,520.5773193359375,522.9804179201291,518.174220751746,93.25865813235798,73.07351251671383,85.71400261582973,55.974738887510405,90.45544816629155,76.47740696917246,1.0000573040231118,1.0288319100983032,1.0417852728436505,0.0025308359136558393,0.0006238867266283962,0.002510753727571402,0.0004512332398000501,0.0025340411822993847,1.52996826171875,1.1199951171875
2024-05-14 15:00:00,521.9299926757812,521.9299926757812,520.8099975585938,520.9500122070312,3754577.0,1715695200.0,-0.0005937797798674,-0.0005937797798674,-0.1115522127265653,521.3289794921875,521.0404575892857,520.6412556966146,521.5374196474269,520.955189114548,520.5026655592636,78.83779990643588,63.0437290873428,65.94516703382925,0.8762967174393452,0.8741911133025948,0.5778150051304465,0.602405878044135,1.021848921913147,0.992886479431635,520.7333190917968,521.4713298904293,519.9953082931644,520.7333190917968,522.2093406890617,519.2572974945319,520.7333190917968,522.947351487694,518.5192866958996,76.611117585363,80.47597869601202,75.6490032103365,68.0730054298284,82.67880804037101,81.20949165755016,1.1280487729059894,1.0724878199796744,1.0702723859671672,-0.000593779779867417,0.002146942672731142,-0.0002487701576979142,-0.00046084613665016736,-0.0005936035275406759,1.6400146484375,-0.30999755859375
2024-05-14 16:00:00,520.9400024414062,521.0700073242188,520.5599975585938,521.0408935546875,3096595.0,1715698800.0,-0.0018601953980223,-0.0018601953980223,-0.3973791969255095,521.3599853515625,521.0861729213169,520.7436378115699,521.341617167295,520.9544988602124,520.5433334363333,52.84459974017829,55.30700244954148,62.61748524270732,0.8005744417241658,0.859467778986909,0.4707539227166535,0.5760754869786388,0.9503865891607575,0.9851592266551117,520.8058197021485,521.4851882941838,520.1264511101132,520.8058197021485,522.164556886219,519.447082518078,520.8058197021485,522.8439254782543,518.7677139260427,24.74437627811861,64.8713839986132,41.29778148109572,67.55359576908732,58.454348435035165,77.19620154723258,1.1264380417622915,1.0758811983516618,1.0726401350728973,-0.0018601953980223501,-0.0005746012276627815,-0.0006704333933583442,0.00032643508507040176,-0.001858466306878248,1.1199951171875,-0.97998046875
2024-05-14 17:00:00,521.0499877929688,522.375,520.9749755859375,522.3200073242188,4260248.0,1715702400.0,0.000174437890742,0.000174437890742,0.0618326830776575,521.4101684570312,521.1526663643973,520.8170136951264,521.2413759630925,520.966018152809,520.5885661743655,54.463335721885656,57.86136939983094,59.73906737030522,0.7393743110854984,0.8354490854066269,0.3952107581276323,0.5399025412084375,0.8914454086672094,0.9681203506573113,520.8838653564453,521.4884478375742,520.2792828753164,520.8838653564453,522.0930303187031,519.6747003941875,520.8838653564453,522.697612799832,519.0701179130587,25.99472121412075,42.45007169253413,44.39954171440475,53.78210880194566,56.441347346432536,65.8581679406129,1.003152386534833,1.0354618102997575,1.0458482127182356,0.00017443789074202162,-0.0018985885803406986,-0.0016490614505269216,-0.0004801367544195294,0.00017445310591557295,0.510009765625,0.10089111328125
2024-05-14 18:00:00,522.3200073242188,523.780029296875,522.1849975585938,523.44140625,7463288.0,1715706000.0,0.0024519117196666,0.0024519117196666,0.5758530937402706,521.6921752929687,521.270525251116,520.9522530691964,521.6009197501346,521.1465500423303,520.7459699152612,67.7587479244819,62.42508364893187,65.48545337158299,0.7850371383701713,0.8253666959993359,0.47534884692447577,0.5269918023516452,0.936174799721698,0.962312068669018,521.0163665771485,521.6312153493855,520.4015178049115,521.0163665771485,522.2460641216226,519.7866690326744,521.0163665771485,522.8609128938596,519.1718202604374,95.13691850874298,48.62533866699412,88.05541089469847,57.917578030066316,89.48989130634017,68.12852902926929,1.0825267920403665,1.0615019962828105,1.0627137461155816,0.00245191171966664,0.0002111063503521454,0.0025013169779356972,0.0007968585981315526,0.0024549201134766996,1.4000244140625,1.27001953125
2024-05-14 19:00:00,523.4400024414062,523.8300170898438,523.2000122070312,523.2849731445312,11031855.0,1715709600.0,0.0021446562113552,0.0021446562113552,0.5065062584200367,521.9344604492187,521.4427664620536,521.1318446568081,522.2144152500898,521.4525308700196,520.9910095820557,66.06085127043211,66.29034652240603,68.66786303406022,0.9013228901412731,0.8405579348277235,0.6436158297740349,0.5503166078361232,1.0512639526356224,0.9784851384811278,521.1819366455078,521.9676529681176,520.396220322898,521.1819366455078,522.7533692907274,519.6105040002882,521.1819366455078,523.5390856133372,518.8247876776784,89.48385996171125,70.205166561525,91.6183224558859,74.6910916883297,91.9567392029227,79.29599261856514,1.1850277812885432,1.0996112635684132,1.0880622219329943,0.0021446562113552354,0.0024344578901700953,0.002686083997700824,0.0023199174556232066,0.0021469576314452343,1.59503173828125,1.12139892578125
2024-05-15 13:00:00,525.8300170898438,526.7999877929688,525.1799926757812,526.3900146484375,13081992.0,1715713200.0,-0.0002988997119264,-0.0002988997119264,-0.0449984847784408,522.2074584960938,521.6174054827009,521.2820812406994,522.5712678815703,521.6968565066211,521.1995517240989,68.86493234807841,66.59238518125787,66.1004067851514,0.9696794805212221,0.8663822439664233,0.7266753536110855,0.5855883569911157,1.1216032241046605,1.0045066085944974,521.3071838378906,522.2155411889729,520.3988264868084,521.3071838378906,523.1238985400552,519.4904691357261,521.3071838378906,524.0322558911374,518.5821117846439,83.33208899507241,89.31762248850889,86.6738296697557,88.78252100678003,87.14516036160535,89.53059695695606,1.0740232015933346,1.0660679506572766,1.0662499676891612,-0.00029889971192647436,0.0021419743247880034,9.543206115504243e-05,0.0019418969239481856,-0.00029885504585791534,0.6300048828125,-0.155029296875
