date,cpc_embedding_0,cpc_embedding_1,cpc_embedding_2,cpc_embedding_3,cpc_embedding_4,cpc_embedding_5,cpc_embedding_6,cpc_embedding_7,cpc_embedding_8,cpc_embedding_9,cpc_embedding_10,cpc_embedding_11,cpc_embedding_12,cpc_embedding_13,cpc_embedding_14,cpc_embedding_15,cpc_embedding_16,cpc_embedding_17,cpc_embedding_18,cpc_embedding_19,cpc_embedding_20,cpc_embedding_21,cpc_embedding_22,cpc_embedding_23,cpc_embedding_24,cpc_embedding_25,cpc_embedding_26,cpc_embedding_27,cpc_embedding_28,cpc_embedding_29,cpc_embedding_30,cpc_embedding_31,cpc_embedding_32,cpc_embedding_33,cpc_embedding_34,cpc_embedding_35,cpc_embedding_36,cpc_embedding_37,cpc_embedding_38,cpc_embedding_39,cpc_embedding_40,cpc_embedding_41,cpc_embedding_42,cpc_embedding_43,cpc_embedding_44,cpc_embedding_45,cpc_embedding_46,cpc_embedding_47,cpc_embedding_48,cpc_embedding_49,cpc_embedding_50,cpc_embedding_51,cpc_embedding_52,cpc_embedding_53,cpc_embedding_54,cpc_embedding_55,cpc_embedding_56,cpc_embedding_57,cpc_embedding_58,cpc_embedding_59,cpc_embedding_60,cpc_embedding_61,cpc_embedding_62,cpc_embedding_63
2024-06-12 14:00:00,-0.43136874,-0.80144984,0.24560545,-0.38267648,-0.28343752,0.31839278,-0.77065045,-0.04118613,-0.0033530425,-0.20089006,-0.07763335,-0.82108414,0.48709723,-0.5282745,0.5629795,0.35863388,-0.8594134,-0.38444975,0.07321845,0.1161783,-0.17535807,0.52691084,-0.24238567,-0.2674397,-0.021149505,0.22325997,0.20646842,-0.0420487,-0.5784366,0.21999069,-0.49647593,-0.36701998,-0.59718424,0.25523043,0.4300949,-0.2917196,-0.3522564,0.7548247,-0.567276,-0.65976954,0.68463576,-0.037699517,0.7399143,-0.0050153923,-0.030259546,0.8624679,0.5975852,0.7105873,-0.76778466,0.12872207,-0.26008952,-0.045784898,-0.24758631,-0.29365274,-0.17970991,-0.41665503,-0.79868466,0.078996465,-0.56084085,0.8990044,0.39852953,-0.320665,0.6596792,-0.3658864
2024-06-12 15:00:00,-0.14470121,0.3372042,0.67005867,-0.016107155,0.3519268,0.5265291,-0.09484035,-0.43754774,0.1511727,0.48563066,0.12812203,-0.70286995,-0.136236,-0.49881005,0.6265068,0.32548523,-0.86009073,-0.23766316,-0.26980776,0.43447462,-0.6328052,0.35020894,-0.16529883,-0.17206366,0.7637957,0.34895867,-0.24781996,0.3000207,-0.47446775,0.5476059,-0.5861701,-0.36582917,-0.8861902,-0.07798689,0.39907107,-0.5020727,-0.0030829466,0.70138526,-0.5906018,-0.66876173,0.79098666,-0.27752346,0.08497299,0.6046656,0.54559684,0.8271214,0.6413266,0.7404899,-0.7788376,0.107770056,-0.54272646,-0.25913966,-0.20105767,0.0605084,0.46630064,-0.4560908,-0.7968751,0.49111006,-0.41511512,0.7825947,0.33263397,-0.3263668,0.65186846,-0.53595537
2024-06-12 16:00:00,-0.18083376,-0.090968214,0.89778775,-0.07384179,0.5749234,0.15114442,0.08231184,0.6408019,0.067409486,0.8061715,0.20897508,-0.5299822,-0.619457,-0.56625235,0.6463423,0.26334405,-0.78953546,0.1008534,0.022673719,0.26004913,-0.13480997,0.6687641,0.1683025,-0.28840965,0.64114964,0.38965344,0.22226828,0.5230138,0.06354807,0.37116498,0.23083612,-0.024152987,0.17931852,-0.07296544,0.29647323,-0.7248898,-0.19305769,0.649313,-0.3604646,-0.7493224,0.7482615,-0.2678834,-0.012815099,0.66071266,0.53579205,0.5941306,0.5955284,0.71694535,-0.8084364,0.29624096,-0.653876,-0.65455,-0.5259529,0.00626374,0.75312847,-0.782174,-0.785259,0.14088647,-0.16313133,0.16310789,-0.016541205,-0.53921753,0.027951673,-0.26998022
2024-06-12 17:00:00,-0.13164526,0.19415553,0.97477376,-0.66354716,0.34631675,-0.21457632,-0.17963807,0.80996,0.2104381,0.91368574,0.11670584,-0.41693795,-0.8931386,0.24692844,0.6619934,0.0003522085,-0.79356456,-0.164233,-0.11193202,0.15670988,0.39905012,0.7567962,-0.060209494,-0.29939306,0.35891333,-0.29041082,0.09617825,0.6408597,-0.34661004,0.12308739,0.56616217,-0.06063715,0.70471114,0.039528966,0.27442968,-0.6453475,-0.4041404,0.55919325,-0.2543326,-0.22627747,0.66291136,-0.2131251,-0.07114621,0.34734526,0.101479694,0.1489678,0.5642457,0.43457898,-0.89072657,0.6669268,-0.5292486,-0.7412439,-0.7562173,-0.44018647,0.54158705,-0.91767526,-0.8338227,-0.035346057,0.08676498,-0.5497627,-0.32273084,-0.7251553,-0.16007207,-0.47059143
2024-06-12 18:00:00,-0.26010412,0.4619627,0.86831874,-0.8829229,-0.694057,-0.22273326,-0.2030596,0.72848916,-0.13930385,0.3395285,0.20324199,-0.65066284,-0.9640923,0.5541667,0.41021845,0.026190283,-0.6187733,-0.26213008,-0.058024157,-0.1953358,0.4239502,0.57156295,-0.143578,-0.15526003,0.3061396,-0.6747188,0.06357458,0.011934968,-0.5984937,-0.36920255,0.77318984,0.038269307,0.8033776,-0.042780496,0.0704457,-0.73047763,-0.84693974,0.5194914,-0.1605036,0.356477,0.5877201,-0.0038337943,0.42089108,0.0042410977,-0.3412447,-0.14983365,0.61126024,0.24082793,-0.86587894,0.39947855,0.26142752,-0.7442721,-0.3044364,-0.7436389,-0.4466948,-0.69550854,-0.86640584,-0.30156764,0.0020428319,-0.12815647,0.041728064,-0.8724765,0.021221137,0.013151433
2024-06-12 19:00:00,-0.07555488,0.48986754,0.51483744,-0.7736779,-0.7755572,-0.23068015,-0.30654886,0.51673806,0.08792017,-0.16844824,0.44241378,0.44991216,-0.7438676,0.6720705,0.23086722,0.19295712,-0.06326719,-0.4167182,-0.20987487,0.017387683,0.3445677,0.5952983,-0.45086703,-0.11018664,-0.10063898,-0.34405124,-0.03145713,-0.38355592,-0.7806579,-0.2743182,-0.014827119,-0.0018133478,0.5345622,-0.13296217,0.09456669,-0.5320676,-0.24993889,0.60568845,-0.106226906,0.71894026,0.7697638,0.70775914,0.8100494,-0.40292165,-0.59751236,0.60267246,0.7192627,0.34169763,-0.37775657,0.1383162,0.6736276,-0.64544463,-0.27701992,-0.8953657,-0.4808443,-0.7139267,-0.8246705,0.20277843,0.1754466,0.69169074,0.0064949673,-0.8938993,0.70518273,-0.12639186
2024-06-13 13:00:00,-0.22214377,-0.32415918,-0.4316452,-0.59392,-0.45332116,-0.23537987,-0.3432651,0.053512383,0.3963905,-0.6609103,0.3604621,0.13683458,0.052517068,0.6112415,0.19383395,0.4597652,-0.13812095,-0.41810963,-0.1189651,0.41848215,-0.52925825,0.4883093,-0.43326604,-0.23884815,-0.21462165,-0.46133697,0.38763472,-0.6070089,-0.9121665,0.44008267,-0.34723905,-0.07718754,0.09125435,-0.023970118,0.07150309,-0.69405097,-0.28735158,0.5371685,-0.5768395,0.27005747,0.7966309,0.44892213,0.6462759,-0.42796636,-0.576603,-0.12171996,0.7414833,0.27789533,-0.5532424,0.60656166,0.7980242,-0.32216462,-0.33745104,-0.41008782,-0.16844368,0.074001215,-0.34665325,0.41982332,0.012100189,0.93408334,0.123800255,0.098910086,0.47258937,-0.2449061
2024-06-13 14:00:00,-0.15087153,-0.786513,-0.43119836,-0.3549798,-0.020993963,0.2622428,-0.26560396,-0.30020016,0.14780915,-0.5241442,0.27065715,-0.5328765,0.39303133,-0.20765458,0.49192548,0.51169413,-0.49232247,-0.3904394,0.18998696,0.41707322,-0.6628688,0.5189791,-0.33900148,0.046372052,-0.32787922,-0.047926992,0.4481919,-0.43115863,-0.41361433,0.657256,-0.64356625,-0.18384658,-0.54918367,0.118193634,0.28190836,-0.46583006,-0.26341572,0.6526245,-0.5230455,-0.5455282,0.8551772,0.14425763,0.3768732,0.3056728,-0.12589712,0.52238894,0.6505138,0.45498964,-0.37627614,0.6019218,0.5580233,-0.18787457,-0.19161415,0.4143916,0.1479953,0.0022341206,-0.5246105,0.28446925,-0.43954387,0.91958386,0.16367225,0.38531765,0.5104315,-0.43018693
2024-06-13 15:00:00,-0.05983431,-0.18546729,0.35798267,-0.36669412,0.43182653,0.28885442,-0.2673096,-0.51350254,0.103163235,0.19006594,0.45068347,-0.4609896,0.106684,-0.5832793,0.33122516,0.5070796,-0.6266556,0.03305693,0.23539951,0.39220703,-0.5642348,0.39060545,-0.2017998,0.09867936,0.5433676,0.14696187,0.34127384,0.062966704,0.0043014763,0.6780493,-0.52252525,-0.14739703,-0.7658125,-0.032653097,0.27924445,-0.5343683,-0.15630175,0.59510434,-0.4041568,-0.7576303,0.72838324,-0.26610893,0.11543657,0.77345306,0.26887846,0.7728898,0.5509872,0.6139957,-0.5519828,0.51908416,-0.27406764,-0.20399615,0.042043075,0.6194688,0.6211645,-0.19761227,-0.6891133,0.6425313,-0.2848909,0.76694095,0.13550812,0.43003544,0.64804465,-0.48923576
2024-06-13 16:00:00,-0.058119163,-0.3609349,0.78112596,-0.016934728,0.53798044,0.06978031,-0.10592053,0.46094406,-0.20651071,0.7075071,0.43521488,-0.61852616,-0.42648715,-0.8095905,0.54373735,0.41846585,-0.69557035,0.1322145,0.19954558,0.24528815,-0.23482698,0.4990984,0.20634012,0.035096623,0.53892016,0.41596785,0.35916394,0.2936874,0.09945137,0.6049889,-0.063728206,-0.24620551,-0.23799759,-0.0091928225,0.28584066,-0.14784235,-0.11393568,0.68022066,-0.2093676,-0.759021,0.64177763,-0.3801976,0.03969016,0.6577965,0.4211695,0.7882087,0.60305446,0.6170257,-0.6249353,0.5222148,-0.5447474,-0.5417695,-0.07530593,0.61895764,0.45812064,-0.6459003,-0.69240314,-0.28586638,-0.10928655,0.3213379,-0.028166838,0.18634768,0.23682107,-0.26504642
